En esta lista se detallan los «términos compuestos» que la herramienta [[Usuario:Benjavalero/Replacer|Replacer]] detecta como potencialmente erróneos.

El formato es el mismo que el del [[Wikipedia:Corrector ortográfico/Listado|listado de términos simples]], con la salvedad de que este listado extiende al anterior con términos o expresiones que contienen caracteres no alfabéticos: espacios, números, etc. Las recomendaciones aplican igualmente.
<!-- Procurar el orden alfabético -->

{{Índice|num=sí|sim=sí}}
 co-escrito||coescrito
 co escritor||coescritor
 co-escritor||coescritor
 co escritora||coescritora
 co-escritora||coescritora
 co escritoras||coescritoras
 co-escritoras||coescritoras
 co escritores||coescritores
 co-escritores||coescritores
 co escritos||coescritos
 co-escritos||coescritos
 co escritura||coescritura
 co-escritura||coescritura
 co escrituras||coescrituras
 co-escrituras||coescrituras
 co estrella||coestrella
 co-estrella||coestrella
 co estrellas||coestrellas
 co-estrellas||coestrellas
 co estelar||coestelar
 co-estelar||coestelar
 co estelares||coestelares
 co-estelares||coestelares
 co foundador||cofundador
 co-foundador||cofundador
 co funda||cofunda
 co-funda||cofunda
 co fundacion||cofundación
 co-fundacion||cofundación
 co fundación||cofundación
 co-fundación||cofundación
 co fundada||cofundada
 co-fundada||cofundada
 co fundadas||cofundadas
 co-fundadas||cofundadas
 co fundado||cofundado
 co-fundado||cofundado
 co fundados||cofundados
 co-fundados||cofundados
 co fundador||cofundador
 co-fundador||cofundador
 co fundadores||cofundadores
 co-fundadores||cofundadores
 co fundan||cofundan
 co-fundan||cofundan
 co fundando||cofundando
 co-fundando||cofundando
 co fundar||cofundar
 co-fundar||cofundar
 co fundara||cofundara, cofundará
 co-fundara||cofundara, cofundará
 co fundaron||cofundaron
 co-fundaron||cofundaron
 co fundo||cofundó (3.ª persona), cofundo (1.ª persona)
 co-fundo||cofundó (3.ª persona), cofundo (1.ª persona)
 co fundó||cofundó (3.ª persona), cofundo (1.ª persona)
 co-fundó||cofundó (3.ª persona), cofundo (1.ª persona)
 co gobernacion||cogobernación
 co-gobernacion||cogobernación
 co gobernación||cogobernación
 co-gobernación||cogobernación
 co gobernado||cogobernado
 co-gobernado||cogobernado
 co gobernador||cogobernador
 co-gobernador||cogobernador
 co gobernadores||cogobernadores
 co-gobernadores||cogobernadores
 co gobernados||cogobernados
 co-gobernados||cogobernados
 co gobernando||cogobernando
 co-gobernando||cogobernando
 co gobernante||cogobernante
 co-gobernante||cogobernante
 co gobernar||cogobernar
 co-gobernar||cogobernar
 co gobernaron||cogobernaron
 co-gobernaron||cogobernaron
 co goberno||cogobernó
 co-goberno||cogobernó
 co gobernó||cogobernó
 co-gobernó||cogobernó
 co gobierna||cogobierna
 co-gobierna||cogobierna
 co gobiernan||cogobiernan
 co-gobiernan||cogobiernan
 co gobierno||cogobierno
 co-gobierno||cogobierno
 co gobiernos||cogobiernos
 co-gobiernos||cogobiernos
 co guionista||coguionista
 co-guionista||coguionista
 co guionistas||coguionistas
 co-guionistas||coguionistas
 co lider||colíder
 co-lider||colíder
 co líder||colíder
 co-líder||colíder
 co lideres||colíderes
 co-lideres||colíderes
